
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 42 | train_loss: 0.0163:  84%|████████▍ | 42/50 [49:10<09:07, 68.41s/it]
Epoch 42 | train_loss: 0.0163:  86%|████████▌ | 43/50 [49:10<07:58, 68.37s/it]
Epoch 43 | train_loss: 0.0184:  86%|████████▌ | 43/50 [50:19<07:58, 68.37s/it]
Epoch 43 | train_loss: 0.0184:  88%|████████▊ | 44/50 [50:19<06:50, 68.47s/it]
Epoch 44 | train_loss: 0.0183:  88%|████████▊ | 44/50 [51:25<06:50, 68.47s/it]
Epoch 44 | train_loss: 0.0183:  90%|█████████ | 45/50 [51:25<05:39, 67.88s/it]
Epoch 45 | train_loss: 0.0172:  90%|█████████ | 45/50 [52:34<05:39, 67.88s/it]
Epoch 45 | train_loss: 0.0172:  92%|█████████▏| 46/50 [52:34<04:32, 68.03s/it]
Epoch 46 | train_loss: 0.0221:  92%|█████████▏| 46/50 [53:42<04:32, 68.03s/it]
Epoch 46 | train_loss: 0.0221:  94%|█████████▍| 47/50 [53:42<03:24, 68.16s/it]
Epoch 47 | train_loss: 0.0192:  94%|█████████▍| 47/50 [54:50<03:24, 68.16s/it]
Epoch 47 | train_loss: 0.0192:  96%|█████████▌| 48/50 [54:50<02:16, 68.03s/it]
Epoch 48 | train_loss: 0.0163:  96%|█████████▌| 48/50 [55:58<02:16, 68.03s/it]
Epoch 48 | train_loss: 0.0163:  98%|█████████▊| 49/50 [55:58<01:08, 68.11s/it]
Epoch 49 | train_loss: 0.0206:  98%|█████████▊| 49/50 [57:09<01:08, 68.11s/it]
Epoch 49 | train_loss: 0.0206: 100%|██████████| 50/50 [57:09<00:00, 68.86s/it]
Epoch 49 | train_loss: 0.0206: 100%|██████████| 50/50 [57:09<00:00, 68.58s/it]
